hindi,hinglish
वह बेवकूफ चाचा होगा।,Woh bewakoof chacha hoga.
यह बोर परिवार है।,Yeh bore parivar hai
यह नोटिफिकेशन बढ़िया है।,Yeh notification badhiya hai
यह धांसू परिवार और वह धांसू भाई है।,Yeh dhansu parivar aur woh dhansu bhai hai
यह बेहतर घरवाले और वह बेहतर पापा है।,Yeh behtar gharwale aur woh behtar papa hai
यह बढ़िया दादा और वह बढ़िया ससुर है।,Yeh badhiya dada aur woh badhiya sasur hai
बिल्कुल सही।,Bilkul sahi.
ज़बरदस्त देश है,zabardast desh hai
वह बेईमान दादा था।,Woh beimana dada tha.
दरवाज़ा देख लीजिए,darwaza dekh lijiye
मेरे पास चार बेटी है।,Mere paas chaar beti hai.
यह पेमेंट पतला है।,Yeh payment patla hai
इसे यह खिड़की चाहिए,ise yah khidki chahiye
मेज़ खाो,mez khao
मेरे पास चार केक है।,Mere paas chaar cake hai.
मेरे पास दो बाज़ार है।,Mere paas do bazaar hai.
यह ज़बरदस्त पापा और वह ज़बरदस्त माँ है।,Yeh zabardast papa aur woh zabardast maa hai
यह सर्च शानदार है।,Yeh search shaandaar hai
मुझे एक बेहतर कार्ट चाहिए।,mujhe ek behtar cart chahiye.
यह प्रसन्न बच्चा है।,Yeh prasanna bachcha hai
यह ऑर्डर बेहतर है।,Yeh order behtar hai
वह कीमती पति होगा।,Woh qimati pati hoga.
यह बुरा बेटा और वह बुरा बेटी है।,Yeh bura beta aur woh bura beti hai
वह उदास भाई होगा।,Woh udas bhai hoga.
मुझे एक लाइक पसंद है,Mujhe ek like pasand hai
पेट में दर्द होना।,Pet mein dard hona.
यह यूज़रनेम चौड़ा है।,Yeh username chaura hai
यह खराब घरवाले और वह खराब भाई है।,Yeh kharab gharwale aur woh kharab bhai hai
वह उत्साहित यार होगा।,Woh utsaahit yaar hoga.
वह होशियार बेटी होगा।,Woh hoshiyar beti hoga.
वह ज़बरदस्त बेटी था।,Woh zabardast beti tha.
हमारा दादा खो गया।,hamara dada kho gaya.
तुझे यह गली चाहिए,tujhe yah gali chahiye
वह कीमती औरत होगा।,Woh qimati aurat hoga.
यह कमाल का ताऊ और वह कमाल का ताई है।,Yeh kamaal ka tau aur woh kamaal ka tai hai
वह फालतू पत्नी होगा।,Woh faltu patni hoga.
वह कमज़ोर दुश्मन होगा।,Woh kamzor dushman hoga.
यह धांसू माँ है।,Yeh dhansu maa hai
पैक कर दो।,Pack kar do.
मुझे एक आइकन चाहिए,Mujhe ek icon chahiye
यह अच्छा नानी और वह अच्छा ताई है।,Yeh accha nani aur woh accha tai hai
वह आसान ससुर था।,Woh aasan sasur tha.
यह बढ़िया बेटा और वह बढ़िया ससुर है।,Yeh badhiya beta aur woh badhiya sasur hai
मुझे एक फालतू पेमेंट चाहिए।,mujhe ek faltu payment chahiye.
यह धांसू परिवार और वह धांसू सास है।,Yeh dhansu parivar aur woh dhansu saas hai
वह बेकार बेटी था।,Woh bekar beti tha.
ये पूछेगा,ye poochhega
वह बच्चा बच्ची होगा।,Woh bachcha bachchi hoga.
यह जाूँगी,yah jaungi
यह बेटा बिक्री हुई।,Yeh beta bikri hui.
मेरे पास चार कागज है।,Mere paas chaar kagaz hai.
यह क्यूआर कोड कमाल का है।,Yeh QR code kamaal ka hai
ज़्यादा गाँव है,zyada gaanv hai
यह पेज धांसू है।,Yeh page dhansu hai
वह बुरा चाचा था।,Woh bura chacha tha.
यह ताज़ा ससुर है।,Yeh taza sasur hai
चौदह मिनट,chaudah minute
यह धांसू दादा और वह धांसू माँ है।,Yeh dhansu dada aur woh dhansu maa hai
मैं जगेगा,main jagega
मुझे एक सबसे अच्छा सर्च इंजन चाहिए।,mujhe ek sabse accha search engine chahiye.
वह गरीब ताऊ था।,Woh garib tau tha.
वह छोटा दुश्मन था।,Woh chhota dushman tha.
यह बेहतर नानी और वह बेहतर ताऊ है।,Yeh behtar nani aur woh behtar tau hai
यह साइन अप बढ़िया है।,Yeh sign up badhiya hai
वह लाल बेटी था।,Woh laal beti tha.
यह अच्छा चाचा है।,Yeh accha chacha hai
वह परेशान माँ था।,Woh pareshan maa tha.
यह धुंधला ताऊ है।,Yeh dhundhla tau hai
यह हरा घरवाले है।,Yeh hara gharwale hai
हमारा घर पसंद है।,hamara ghar pasand hai.
हमारा नानी कहाँ है?,hamara nani kahan hai?
यह प्रीमियम सबसे बुरा है।,Yeh premium sabse bura hai
वह चौड़ा परिवार होगा।,Woh chaura parivar hoga.
वह बच्चा बच्ची था।,Woh bachcha bachchi tha.
वह मेमोरी खरीदा,Woh memory kharida
वह उलझा लड़का होगा।,Woh uljha ladka hoga.
वह उथला लड़का था।,Woh uthla ladka tha.
वह कमाल का चाचा होगा।,Woh kamaal ka chacha hoga.
किसे तुम गया,kise tum gaya
वह चपटा भाई होगा।,Woh chapta bhai hoga.
वह चलते हैं,vah chalte hain
यह बेहतर चाची और वह बेहतर चाचा है।,Yeh behtar chachi aur woh behtar chacha hai
यह गंदा बच्चा है।,Yeh ganda bachcha hai
यह बच्चा पापा है।,Yeh bachcha papa hai
वह धुंधला नाना होगा।,Woh dhundhla nana hoga.
यह बर्फ़ीला चाचा है।,Yeh barfila chacha hai
बहन की शादी है।,Behen ki shaadi hai
यह पूछूँगी,yah poochhungi
वह उत्साहित बेटी था।,Woh utsaahit beti tha.
कहाँ तक वह है,kahaan tak vah hai
यह बर्फ़ीला यार है।,Yeh barfila yaar hai
मुझे एक साधारण वीडियो कॉल चाहिए।,mujhe ek sadharan video call chahiye.
यह हरा लड़की था।,Yeh hara ladki tha.
वह जटिल बेटा था।,Woh jatil beta tha.
यह बेहतर ससुर और वह बेहतर सास है।,Yeh behtar sasur aur woh behtar saas hai
यह कमाल का भाई और वह कमाल का बहन है।,Yeh kamaal ka bhai aur woh kamaal ka behen hai
वह कमाल का पत्नी था।,Woh kamaal ka patni tha.
वह पतला नाना होगा।,Woh patla nana hoga.
मुझे एक ज़बरदस्त एडिट चाहिए।,mujhe ek zabardast edit chahiye.
वह जलता दोस्त होगा।,Woh jalta dost hoga.
मेरी बोलेगी,meri bolegi
यह पढ़ती है,yah padhti hai
वह कोमल दुश्मन था।,Woh komal dushman tha.
वह खूबसूरत पापा होगा।,Woh khoobsurat papa hoga.
वह बासी नाना होगा।,Woh basi nana hoga.
वह गर्म यार था।,Woh garam yaar tha.
कहाँ तक वह गया,kahaan tak vah gaya
मुझे एक बढ़िया राउटर चाहिए।,mujhe ek badhiya router chahiye.
हमने सुना,hamne suna
वह ज़बरदस्त लड़की था।,Woh zabardast ladki tha.
यह धांसू दादा और वह धांसू चाची है।,Yeh dhansu dada aur woh dhansu chachi hai
यह ऑफर बुरा है।,Yeh offer bura hai
मेरे पास तीन मामा है।,Mere paas teen mama hai.
वह कोमल बच्चा था।,Woh komal bachcha tha.
वह मोटा दोस्त होगा।,Woh mota dost hoga.
वह परेशान दादी था।,Woh pareshan dadi tha.
तेज़ चावल,tez chawal
वह सबसे बुरा माँ होगा।,Woh sabse bura maa hoga.
यह उदास पत्नी है।,Yeh udas patni hai
समय खा लो,samay kha lo
यह कमाल का बहन और वह कमाल का ससुर है।,Yeh kamaal ka behen aur woh kamaal ka sasur hai
यह बुरा ताई है।,Yeh bura tai hai
यह खराब नाना और वह खराब माँ है।,Yeh kharab nana aur woh kharab maa hai
वह सफेद चाचा था।,Woh safed chacha tha.
मुझे एक सबसे अच्छा नोटिफिकेशन चाहिए।,mujhe ek sabse accha notification chahiye.
यह दुखी बेटा है।,Yeh dukh beta hai
यह औरत है।,Yeh aurat hai.
मुझे एक छोटा सॉफ्टवेयर चाहिए।,mujhe ek chhota software chahiye.
वह बेवकूफ ताई होगा।,Woh bewakoof tai hoga.
मुझे एक मशीन लर्निंग खरीदा,Mujhe ek machine learning kharida
तुम देखती है,tum dekhti hai
वह बेवकूफ दोस्त था।,Woh bewakoof dost tha.
यह चपटा ताई है।,Yeh chapta tai hai
वह शानदार दादा था।,Woh shaandaar dada tha.
यह धांसू पापा और वह धांसू नाना है।,Yeh dhansu papa aur woh dhansu nana hai
वह धांसू चाची होगा।,Woh dhansu chachi hoga.
वह कीमती बहन था।,Woh qimati behen tha.
मुझे एक अच्छा साइन अप चाहिए।,mujhe ek accha sign up chahiye.
यह ऑडियो पतला है।,Yeh audio patla hai
यह कमाल का सास और वह कमाल का नाना है।,Yeh kamaal ka saas aur woh kamaal ka nana hai
यह ख़ास दादा है।,Yeh khaas dada hai
वह शर्मीला लड़का था।,Woh sharmila ladka tha.
यह बर्फ़ीला पापा है।,Yeh barfila papa hai
यह धांसू नानी और वह धांसू ताई है।,Yeh dhansu nani aur woh dhansu tai hai
मुझे एक सबसे अच्छा वॉलेट चाहिए।,mujhe ek sabse accha wallet chahiye.
मुझे एक सबसे अच्छा पेज चाहिए।,mujhe ek sabse accha page chahiye.
वह सरल बेटी होगा।,Woh saral beti hoga.
आप पीती है,aap piti hai
यह खाूँगा,yah khaunga
मैं बैठ रहे हैं,main baith rahe hain
यह फल बिक्री हुई।,Yeh fal bikri hui.
वह गोल नानी था।,Woh gol nani tha.
यह चिंतित पत्नी है।,Yeh chintit patni hai
कब तक मैं गया,kab tak main gaya
यह बेकार भाई है।,Yeh bekar bhai hai
वह आलसी लड़की होगा।,Woh aalsi ladki hoga.
वह शांत सास था।,Woh shant saas tha.
आप लिखती है,aap likhti hai
मुझे एक सबसे बुरा साइन अप चाहिए।,mujhe ek sabse bura sign up chahiye.
यह मीम खराब है।,Yeh meme kharab hai
यह चपटा बच्चा है।,Yeh chapta bachcha hai
वह शानदार ताई होगा।,Woh shaandaar tai hoga.
वह सस्ता घरवाले था।,Woh sasta gharwale tha.
यह अपडेट बुरा है।,Yeh update bura hai
मैं उम्दा है,main umda hai
वह ज़बरदस्त चाचा था।,Woh zabardast chacha tha.
यह अच्छा दादी और वह अच्छा नानी है।,Yeh accha dadi aur woh accha nani hai
यह केबल अच्छा है।,Yeh cable accha hai.
कमाल रात है,kamaal raat hai
यह डिलीवरी ख़ास है।,Yeh delivery khaas hai
वह बर्फ़ीला ताई था।,Woh barfila tai tha.
यह अच्छा दादा और वह अच्छा नानी है।,Yeh accha dada aur woh accha nani hai
यह बेहतर पति और वह बेहतर ताई है।,Yeh behtar pati aur woh behtar tai hai
वह लिखेगा,vah likhega
देश दे लो,desh de lo
वह शांत पत्नी होगा।,Woh shant patni hoga.
मुझे एक खराब हेडफोन चाहिए।,mujhe ek kharab headphone chahiye.
मेरी दरवाज़ा है,meri darwaza hai
वह बहादुर दादी होगा।,Woh bahadur dadi hoga.
यह अभी का आदमी है।,Yeh abhi ka aadmi hai
यह सबसे अच्छा माँ और वह सबसे अच्छा दादा है।,Yeh sabse accha maa aur woh sabse accha dada hai
यह कनेक्शन लंबा है।,Yeh connection lamba hai
यह मसाला आ रहा है।,Yeh masala aa raha hai.
वह उदास बहन होगा।,Woh udas behen hoga.
यह अच्छा सास और वह अच्छा ताऊ है।,Yeh accha saas aur woh accha tau hai
मुझे एक शानदार स्टिकर चाहिए।,mujhe ek shaandaar sticker chahiye.
मुझे एक अच्छा पोस्ट चाहिए।,mujhe ek accha post chahiye.
वह साधारण यार था।,Woh sadharan yaar tha.
वह सुंदर पत्नी होगा।,Woh sundar patni hoga.
यह परिवार आ रहा है।,Yeh parivar aa raha hai.
मैं थे रही है,main the rahi hai
वह सुंदर पत्नी था।,Woh sundar patni tha.
यह पिक्चर धांसू है।,Yeh picture dhansu hai
वह कठिन सास था।,Woh kathin saas tha.
ज़रा देखिए।,Zara dekhiye.
यह साइन अप अच्छा है।,Yeh sign up accha hai
यह कीमती खाना था।,Yeh qimati khana tha.
यह डेस्कटॉप सबसे अच्छा है।,Yeh desktop sabse accha hai
लगा दो,laga do
वह कोमल आदमी था।,Woh komal aadmi tha.
यह सीज़न बेहतर है।,Yeh season behtar hai
मेरे पास कई कपड़े है।,Mere paas kai kapde hai.
यह धांसू चाची और वह धांसू सास है।,Yeh dhansu chachi aur woh dhansu saas hai
यह खाली दिन है।,Yeh khali din hai.
यह बुरा दादी और वह बुरा नाना है।,Yeh bura dadi aur woh bura nana hai
मुझे एक बड़ा रजिस्टर चाहिए।,mujhe ek bada register chahiye.
यह ज़बरदस्त घरवाले और वह ज़बरदस्त चाची है।,Yeh zabardast gharwale aur woh zabardast chachi hai
वह मज़ाकिया दादी था।,Woh mazakiya dadi tha.
यह ऑडियो शानदार है।,Yeh audio shaandaar hai
मुझे एक खराब यूज़रनेम चाहिए।,mujhe ek kharab username chahiye.
तुम जा रहे हैं,tum ja rahe hain
यह पतला भाई है।,Yeh patla bhai hai
मेरे पास तीन आदमी है।,Mere paas teen aadmi hai.
यह बढ़िया चाची और वह बढ़िया नाना है।,Yeh badhiya chachi aur woh badhiya nana hai
वह उत्साहित माँ था।,Woh utsaahit maa tha.
मुझे एक सबसे अच्छा वेरिफिकेशन चाहिए।,mujhe ek sabse accha verification chahiye.
यह चमकदार बेटा है।,Yeh chamakdar beta hai
यह सस्ता घरवाले है।,Yeh sasta gharwale hai
वह मेहनती ताई था।,Woh mehnati tai tha.
खिड़की देख लो,khidki dekh lo
यह बहुत बेहतर है,yah bahut behtar hai
यह सब्सक्राइब बुरा है।,Yeh subscribe bura hai
छोटे शहर,chhote shehar
यह प्रोफाइल साधारण है।,Yeh profile sadharan hai
बुरा पानी है,bura paani hai
मुझे एक साधारण सॉन्ग चाहिए।,mujhe ek sadharan song chahiye.
यह व्हाट्सएप बुरा है।,Yeh WhatsApp bura hai
देश को,desh ko
मुझे एक ज़बरदस्त मूवी चाहिए।,mujhe ek zabardast movie chahiye.
यह उम्दा है,yah umda hai
यह बढ़िया ताई और वह बढ़िया दादा है।,Yeh badhiya tai aur woh badhiya dada hai
यह उग्र बात है।,Yeh ugra baat hai.
यह आलसी चाची है।,Yeh aalsi chachi hai
हम दुखी हूँ,hum dukhi hoon
वह गोल बहन होगा।,Woh gol behen hoga.
वह परेशान पत्नी होगा।,Woh pareshan patni hoga.
यह खराब बेटी और वह खराब पत्नी है।,Yeh kharab beti aur woh kharab patni hai
मुझे एक फेसबुक पसंद है,Mujhe ek facebook pasand hai
मेरा बेटी कहाँ है?,mera beti kahan hai?
यह बढ़िया ताऊ और वह बढ़िया घरवाले है।,Yeh badhiya tau aur woh badhiya gharwale hai
मुझे एक बड़ा फोन चाहिए।,mujhe ek bada phone chahiye.
वह बोल रही है,vah bol rahi hai
यह पीला ताऊ है।,Yeh peela tau hai
मुझे एक ज़ूम पसंद है,Mujhe ek zoom pasand hai
यह बुरा चाची और वह बुरा ससुर है।,Yeh bura chachi aur woh bura sasur hai
यह इयरफोन लंबा है।,Yeh earphone lamba hai
यह विदेश जा रहा है।,Yeh videsh ja raha hai.
आपको दिन चाहिए,aapko din chahiye
उम्दा खिड़की है,umda khidki hai
मुझे एक धांसू एल्बम चाहिए।,mujhe ek dhansu album chahiye.
वह नया पत्नी होगा।,Woh naya patni hoga.
मुझे एक चौड़ा फॉलो चाहिए।,mujhe ek chaura follow chahiye.
वह ऊंचा लड़का था।,Woh ooncha ladka tha.
वह रहे रही है,vah rahe rahi hai
मुझे एक कमाल का स्टोरी चाहिए।,mujhe ek kamaal ka story chahiye.
यह घर है।,Yeh ghar hai.
यह आलसी बच्चा है।,Yeh aalsi bachcha hai
यह गोल काम है।,Yeh gol kaam hai.
कैसे तुम हो,kaise tum ho
यह अमीर परिवार है।,Yeh amir parivar hai
यह वीडियो कॉल साधारण है।,Yeh video call sadharan hai
यह अच्छा परिवार और वह अच्छा बेटा है।,Yeh accha parivar aur woh accha beta hai
वह बच्चा पति होगा।,Woh bachcha pati hoga.
यह ज़बरदस्त पत्नी और वह ज़बरदस्त चाची है।,Yeh zabardast patni aur woh zabardast chachi hai
मुझे एक सबसे अच्छा पेमेंट चाहिए।,mujhe ek sabse accha payment chahiye.
वह बड़ा बूढ़ा था।,Woh bada budha tha.
सस्ता गली,sasta gali
यह पुराना औरत है।,Yeh purana aurat hai
बुरा पलंग,bura palang
यह फर्श है।,Yeh farsh hai.
यह परेशान पापा है।,Yeh pareshan papa hai
वह डरा हुआ ससुर था।,Woh dara hua sasur tha.
यह ज़बरदस्त चाची और वह ज़बरदस्त बेटी है।,Yeh zabardast chachi aur woh zabardast beti hai
क्यों मैं कर रहा है,kyun main kar raha hai
यह ऐप बढ़िया है।,Yeh app badhiya hai
मेरी करूँगा,meri karunga
मेरे पास एक नर्स है।,Mere paas ek nurse hai.
मैं बता रहे हैं,main bata rahe hain
यह धांसू माँ और वह धांसू ताऊ है।,Yeh dhansu maa aur woh dhansu tau hai
यह गहरा आदमी है।,Yeh gahra aadmi hai
यह बेहतर दादा और वह बेहतर बेटी है।,Yeh behtar dada aur woh behtar beti hai
वह बेईमान ससुर होगा।,Woh beimana sasur hoga.
वह डिलीट पसंद है,Woh delete pasand hai
शानदार दरवाज़ा,shaandaar darwaza
मेरा किताब लेकर आया।,mera kitaab lekar aaya.
वह काला दुश्मन था।,Woh kala dushman tha.
तुम कहाँ हो,tum kahaan ho
वह चमकदार चाचा था।,Woh chamakdar chacha tha.
यह लिए रहा है,yah liye raha hai
यह धांसू बेटी और वह धांसू बहन है।,Yeh dhansu beti aur woh dhansu behen hai
यह शो कमाल का है।,Yeh show kamaal ka hai
वह कठिन दोस्त था।,Woh kathin dost tha.
यह क्लाउड खराब है।,Yeh cloud kharab hai
यह बुरा भाई और वह बुरा बहन है।,Yeh bura bhai aur woh bura behen hai
यह नोटिफिकेशन कमाल का है।,Yeh notification kamaal ka hai
यह आ रहा हूँ,yah aa raha hoon
यह खराब बहन और वह खराब बेटा है।,Yeh kharab behen aur woh kharab beta hai
मुझे एक सबसे अच्छा वीपीएन चाहिए।,mujhe ek sabse accha VPN chahiye.
यह बेहतर माँ और वह बेहतर ताई है।,Yeh behtar maa aur woh behtar tai hai
वह गई रहा है,vah gayi raha hai
वह सीधा बच्ची होगा।,Woh sidha bachchi hoga.
यह जलता ताऊ है।,Yeh jalta tau hai
सब्ज़ी ले लो,sabzi le lo
वह आसान सास था।,Woh aasan saas tha.
क्यों यह है?,kyun yah hai?
मेरी दे रही है,meri de rahi hai
यह फर्श खरीदा।,Yeh farsh kharida.
यह उठती है,yah uthti hai
यह लैपटॉप खराब है।,Yeh laptop kharab hai
वह सबसे बुरा बच्चा था।,Woh sabse bura bachcha tha.
वह महंगा ताई होगा।,Woh mahanga tai hoga.
वह पीला दादी था।,Woh peela dadi tha.
मेरे पास एक नमक है।,Mere paas ek namak hai.
बेहतर खाना,behtar khana
वह पीला पत्नी होगा।,Woh peela patni hoga.
यह बुरा पत्नी और वह बुरा माँ है।,Yeh bura patni aur woh bura maa hai
शहर दे लो,shehar de lo
यह अच्छा पत्नी है।,Yeh accha patni hai
मुझे एक बेहतर आईपैड चाहिए।,mujhe ek behtar iPad chahiye.
मोहल्ला देो,mohalla deo
यह हॉटस्पॉट बड़ा है।,Yeh hotspot bada hai
यह बेईमान दादी है।,Yeh beimana dadi hai
मुझे एक कमाल का वेरिफिकेशन चाहिए।,mujhe ek kamaal ka verification chahiye.
यह एल्गोरिथम सुंदर है।,Yeh algorithm sundar hai.
मेरी बोल है,meri bol hai
यह शर्मीला परिवार है।,Yeh sharmila parivar hai
यह अच्छा ताई और वह अच्छा पत्नी है।,Yeh accha tai aur woh accha patni hai
बेहतरीन सुबह है,behtareen subah hai
यह सबसे अच्छा नानी है।,Yeh sabse accha nani hai
वह लाल माँ होगा।,Woh laal maa hoga.
मुझे एक कमाल का पिक्चर चाहिए।,mujhe ek kamaal ka picture chahiye.
यह नया दोस्त है।,Yeh naya dost hai
यह पोस्ट साधारण है।,Yeh post sadharan hai
कितने मैं गया,kitne main gaya
यह प्रसन्न नानी है।,Yeh prasanna nani hai
यह गुस्से वाला बच्चा है।,Yeh gusse wala bachcha hai
यह हरा दादा है।,Yeh hara dada hai
उम्दा दुनिया,umda duniya
यह टिकटॉक फालतू है।,Yeh TikTok faltu hai
तुझे रात चाहिए,tujhe raat chahiye
मुझे एक फोटो है,Mujhe ek photo hai
वह ज़बरदस्त दादी होगा।,Woh zabardast dadi hoga.
यह डेस्कटॉप साधारण है।,Yeh desktop sadharan hai
उसे यह रात चाहिए,use yah raat chahiye
बड़ा पानी,bada paani
यह नोटिफिकेशन लंबा है।,Yeh notification lamba hai
मुझे एक स्कैनर है,Mujhe ek scanner hai
यह उत्साहित पापा है।,Yeh utsaahit papa hai
वे सुन रही हूँ,ve sun rahi hoon
यह गरीब नानी है।,Yeh garib nani hai
छत दे लो,chhat de lo
वह उत्साहित पत्नी था।,Woh utsaahit patni tha.
यह फोटो खराब है।,Yeh photo kharab hai
यह सबसे अच्छा नाना और वह सबसे अच्छा पापा है।,Yeh sabse accha nana aur woh sabse accha papa hai
वह कठिन लड़की होगा।,Woh kathin ladki hoga.
यह स्टिकर फालतू है।,Yeh sticker faltu hai
यह फोन लंबा है।,Yeh phone lamba hai
यह शानदार दादा और वह शानदार बेटी है।,Yeh shaandaar dada aur woh shaandaar beti hai
यह मॉनिटर बढ़िया है।,Yeh monitor badhiya hai
मैं हफ़्ता आऊँगा,main hafta aaunga
मेरे पास दो भाई है।,Mere paas do bhai hai.
मुझे एक ज़बरदस्त लॉगआउट चाहिए।,mujhe ek zabardast logout chahiye.
मुझे एक वर्ज़न मिला,Mujhe ek version mila
वह सुंदर बूढ़ा होगा।,Woh sundar budha hoga.
वह कमज़ोर माँ होगा।,Woh kamzor maa hoga.
यह धुंधला दादी है।,Yeh dhundhla dadi hai
कहाँ तुम गया,kahaan tum gaya
यह बढ़िया नानी और वह बढ़िया बेटा है।,Yeh badhiya nani aur woh badhiya beta hai
यह धांसू सास और वह धांसू बहन है।,Yeh dhansu saas aur woh dhansu behen hai
वह मेहनती बच्चा था।,Woh mehnati bachcha tha.
यह हॉटस्पॉट खराब है।,Yeh hotspot kharab hai
मेरा आया,mera aaya
यह कमेंट लंबा है।,Yeh comment lamba hai
मुझे एक धांसू नोटिफिकेशन चाहिए।,mujhe ek dhansu notification chahiye.
वह खुश दादा था।,Woh khush dada tha.
वह चमकदार नाना था।,Woh chamakdar nana tha.
यह हफ्ता जा रहा है।,Yeh hafta ja raha hai.
यह नीला ताई है।,Yeh neela tai hai
यह सेल्फी अच्छा है।,Yeh selfie accha hai.
मेरे पास कई मोहल्ला है।,Mere paas kai mohalla hai.
वह शानदार चाचा होगा।,Woh shaandaar chacha hoga.
उसके स्थान है,uske sthaan hai
यह हँस रहा है,yah hans raha hai
यह कमाल का ससुर और वह कमाल का बेटी है।,Yeh kamaal ka sasur aur woh kamaal ka beti hai
यह वाईफाई बेहतर है।,Yeh wifi behtar hai
मेरे पास एक भतीजी है।,Mere paas ek bhatiji hai.
ज़्यादा दरवाज़ा है,zyada darwaza hai
आपका खिड़की है,aapka khidki hai
यह धांसू चाचा और वह धांसू दादी है।,Yeh dhansu chacha aur woh dhansu dadi hai
वह मोटा दादा होगा।,Woh mota dada hoga.
वह बुरा चाची होगा।,Woh bura chachi hoga.
आप करेगी,aap karegi
वह अच्छा भाई था।,Woh accha bhai tha.
मेरे पास दो मिठाई है।,Mere paas do mithai hai.
मेरे पास दो कपड़े है।,Mere paas do kapde hai.
वह बेवकूफ बच्ची था।,Woh bewakoof bachchi tha.
यह हॉटस्पॉट बेहतर है।,Yeh hotspot behtar hai
यह शानदार ताई और वह शानदार बहन है।,Yeh shaandaar tai aur woh shaandaar behen hai
यह शानदार दादा और वह शानदार घरवाले है।,Yeh shaandaar dada aur woh shaandaar gharwale hai
मुझे एक ख़ास राउटर चाहिए।,mujhe ek khaas router chahiye.
यह अपडेट लंबा है।,Yeh update lamba hai
यह सरल दादी है।,Yeh saral dadi hai
वह लेेगी,vah leegi
यह बढ़िया पत्नी और वह बढ़िया पति है।,Yeh badhiya patni aur woh badhiya pati hai
यह सुंदर भाई है।,Yeh sundar bhai hai
मैं लिखते हैं,main likhte hain
मुझे एक बड़ा इमेज चाहिए।,mujhe ek bada image chahiye.
मुझे एक बेहतर वेरिफिकेशन चाहिए।,mujhe ek behtar verification chahiye.
वह छोटा ताई होगा।,Woh chhota tai hoga.
वह थका नाना था।,Woh thaka nana tha.
अकेले करो,akele karo
मुझे एक पासवर्ड पसंद है,Mujhe ek password pasand hai
वह मज़ाकिया बेटा होगा।,Woh mazakiya beta hoga.
ज़्यादा गली,zyada gali
भोजन खा लो,bhojan kha lo
मेरी बोला रही है,meri bola rahi hai
तुझे बैग पसंद है।,tujhe bag pasand hai.
यह तपता दादी है।,Yeh tapta dadi hai
यह पूछूँगा,yah poochhunga
वह कमाल का घरवाले होगा।,Woh kamaal ka gharwale hoga.
वह उदास ससुर होगा।,Woh udas sasur hoga.
मैं हँसता है,main hansta hai
मुझे एक बेहतर पेमेंट चाहिए।,mujhe ek behtar payment chahiye.
यह कमाल का पापा और वह कमाल का परिवार है।,Yeh kamaal ka papa aur woh kamaal ka parivar hai
वह आूँगी,vah aaungi
वह मुश्किल दुश्मन होगा।,Woh mushkil dushman hoga.
यह मोटा परिवार है।,Yeh mota parivar hai
यह ज़रूरी खाना है।,Yeh zaroor khana hai.
यह सुंदर बच्ची है।,Yeh sundar bachchi hai
मेरे पास दो स्कूल है।,Mere paas do school hai.
वह अभी का ताई था।,Woh abhi ka tai tha.
तुम जगूँगा,tum jagunga
यह कमज़ोर लड़की था।,Yeh kamzor ladki tha.
यह वीडियो बड़ा है।,Yeh video bada hai
मैं कम है,main kam hai
यह सुन रहा है,yah sun raha hai
ठंडा जगह,thanda jagah
यह शानदार परिवार और वह शानदार बेटी है।,Yeh shaandaar parivar aur woh shaandaar beti hai
मेरे पास तीन पार्क है।,Mere paas teen park hai.
मेरा बोलेगी,mera bolegi
यह बर्फ़ीला घरवाले है।,Yeh barfila gharwale hai
यह शानदार चाचा है।,Yeh shaandaar chacha hai
यह मौत जा रहा है।,Yeh maut ja raha hai.
मुझे एक ज़बरदस्त कैप्शन चाहिए।,mujhe ek zabardast caption chahiye.
यह खराब भाई और वह खराब ससुर है।,Yeh kharab bhai aur woh kharab sasur hai
यह मज़बूत नाना है।,Yeh mazboot nana hai
यह चौड़ा चाचा है।,Yeh chaura chacha hai
मेरा जा रही है,mera ja rahi hai
यह कनेक्शन साधारण है।,Yeh connection sadharan hai
मुझे एक बुरा सेल्फी चाहिए।,mujhe ek bura selfie chahiye.
यह ज़बरदस्त ताऊ और वह ज़बरदस्त दादा है।,Yeh zabardast tau aur woh zabardast dada hai
वह अभी का दादा होगा।,Woh abhi ka dada hoga.
वह सफेद औरत होगा।,Woh safed aurat hoga.
यह डर आ रहा है।,Yeh dar aa raha hai.
वह देख रही हूँ,vah dekh rahi hoon
धीमा पानी,dheema paani
मुझे एक मेमोरी चाहिए,Mujhe ek memory chahiye
यह बुरा पति और वह बुरा दादा है।,Yeh bura pati aur woh bura dada hai
यह सेल्फी कमाल का है।,Yeh selfie kamaal ka hai
तुम गाता है,tum gata hai
यह बेहतर पति और वह बेहतर दादी है।,Yeh behtar pati aur woh behtar dadi hai
यह ज़रूरी लड़की है।,Yeh zaroor ladki hai.
यह चेकआउट पतला है।,Yeh checkout patla hai
वह ज़बरदस्त दादी था।,Woh zabardast dadi tha.
वह मज़बूत लड़की था।,Woh mazboot ladki tha.
यह सुन रहे हैं,yah sun rahe hain
मुझे यह खिड़की चाहिए,mujhe yah khidki chahiye
ज़बरदस्त खाना,zabardast khana
यह ईमानदार चाचा है।,Yeh imandar chacha hai
यह सबसे अच्छा माँ और वह सबसे अच्छा परिवार है।,Yeh sabse accha maa aur woh sabse accha parivar hai
तुम बहुत डर है,tum bahut dar hai
यह अच्छा बेटी और वह अच्छा बहन है।,Yeh accha beti aur woh accha behen hai
